Channel,imaqtpie,Reckful,RatedEpicz,LIRIK,Nightblue3,nl_Kripp,Meteos,sneakylol,Doublelift,Amaz,IzakOOO,SilverName,Castro_1021,TimTheTatman,YoDa,CohhCarnage,hanryang1125,Dyrus
Language,English,English,English,English,English,English,English,English,English,English,Polish,Russian,English,English,Portuguese,English,Korean,English
2017-06-18,125070,49569,0,201538,55507,55239,0,0,0,0,0,0,41756,41874,0,57620,65327,16933
2017-06-19,238418,59063,0,191774,0,76077,0,70416,0,52549,5703,47381,0,45478,87951,43798,106926,55870
2017-06-20,188890,22548,0,191933,70090,76105,0,50897,0,80535,28865,29092,59471,109969,196184,9727,47384,13938
2017-06-21,205063,0,0,199333,11864,79976,0,47269,0,54146,31637,25074,0,101611,210128,4870,53895,1754
2017-06-22,96027,0,0,59754,47708,71247,0,49966,0,0,18081,37430,51168,86725,195463,3282,51938,52867
2017-06-23,46752,0,0,43208,0,32310,0,41546,0,0,12522,0,85247,60214,132094,24800,0,0
2017-06-24,81879,0,0,200680,43343,54603,0,50277,26848,0,154068,16914,48607,63431,174807,26770,83015,41414
2017-06-25,124358,0,0,187020,0,54864,0,0,0,0,135678,33248,0,37966,37513,46067,50771,78167
2017-06-26,103382,0,0,204620,85402,59718,0,64670,0,24713,0,0,55826,39247,99266,31744,51515,58491
2017-06-27,162809,45364,0,28671,77045,71689,0,51773,0,0,0,26412,29820,98191,190598,22384,38996,23190
2017-06-28,165113,6516,0,213464,40795,51081,0,39411,0,47092,28868,0,0,97186,127627,28156,0,8645
2017-06-29,88858,19979,0,36256,0,59033,0,34149,34357,0,129858,0,64398,112718,165229,41171,582,0
2017-06-30,0,14225,0,170886,48328,45093,0,52925,0,41286,103127,0,37057,100705,166174,38025,0,40469
2017-07-01,73990,34568,0,146192,52502,67879,0,0,0,0,113071,24934,0,49376,101478,46629,83211,31958
2017-07-02,34679,5433,0,200060,0,50565,0,0,0,0,131923,0,27892,0,0,40378,66417,19000
2017-07-03,199928,13201,0,202202,43126,44012,0,0,0,47195,40799,47215,33732,39057,81866,50103,67164,70317
2017-07-04,170304,28991,0,168177,62394,56113,0,0,0,38015,20222,0,0,115446,191428,41913,63852,67973
2017-07-05,59348,4709,0,149755,69694,45395,0,0,0,31265,25165,38531,28783,30914,174413,38401,57566,48344
2017-07-06,38142,43797,0,22498,78759,56513,0,0,0,54906,0,0,44493,109006,0,46595,58405,44452
